40.900749,0.818182,95.4,95.4,0.166667,0.083333,0,2,1000,201.802084
3202.467416,0.909091,0,0,0,0,0.25,0,7000,4103.032597
2495.148862,1,773.17,0,1,0,0,12,7500,622.066742
1666.670542,0.636364,1499,0,0.083333,0,0.083333,1,7500,0
817.714335,1,16,0,0.083333,0,0,1,1200,678.334763
1809.828751,1,1333.28,1333.28,0.666667,0.583333,0,8,1800,1400.05777
627.260806,1,7091.01,688.38,1,1,0,64,13500,6354.314328
1823.652743,1,436.2,436.2,1,1,0,12,2300,679.065082
1014.926473,1,861.49,200,0.333333,0.25,0,5,7000,688.278568
152.225975,0.545455,1281.6,0,0.166667,0,0,3,11000,1164.770591
1293.124939,1,920.12,920.12,1,1,0,12,1200,1083.301007
630.794744,0.818182,1492.18,0,0.25,0,0,6,2000,705.618627
1516.92862,1,3217.99,717.76,1,0.916667,0,26,3000,608.263689
921.693369,1,2137.93,1717.97,0.75,0.75,0,26,7500,1655.891435
2772.772734,1,0,0,0,0,0.083333,0,3000,805.647974
6886.213231,1,1611.7,1611.7,0.5,0.5,0.166667,11,8000,1993.439277
2072.074354,0.875,0,0,0,0,0.25,0,3000,391.974562
41.089489,0.454545,519,519,0.416667,0.333333,0,8,2500,254.590662
1989.072228,1,504.35,338.35,0.666667,0.583333,0,9,13000,1720.837373
3577.970933,1,398.64,398.64,1,1,0,12,4000,1053.980464
2016.684686,1,176.68,176.68,0.666667,0.666667,0,8,2000,223.0686
6369.531318,1,6359.95,449.91,1,1,0.333333,92,11250,2077.959051
132.34224,0.636364,815.9,815.9,1,1,0,17,1800,2359.629958
3800.151377,0.818182,4248.35,793.79,1,0.916667,0.333333,13,9000,9479.043842
5368.571219,1,0,0,0,0,0.363636,0,6000,1422.726707
169.781679,1,399.6,399.6,1,1,0,12,3000,215.306142
1615.96724,1,102,0,0.166667,0,0.25,2,1700,890.178845
125.694817,1,233.28,233.28,1,1,0,12,1000,207.773715
7152.864372,1,387.05,182.5,0.666667,0.416667,0.833333,8,10500,1601.448347
22.06349,1,100,100,0.416667,0.416667,0,5,6900,160.767773
12136.21996,1,3038.01,2024.81,1,1,0.5,64,13000,4230.323491
1162.273324,1,1347.71,947.71,1,1,0.166667,45,6000,645.998299
6732.823064,1,324.95,0,0.083333,0,0.166667,3,10500,1720.118876
125.660453,1,636.79,0,0.916667,0,0,11,1200,423.449696
3517.101616,0.727273,547.28,547.28,1,1,0,14,11000,8735.607835
1656.350781,1,0,0,0,0,0.083333,0,1800,351.500199
